id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06984,29.04545,Entire home/apt,965,365,41,2018-11-07,0.32,2,356
27271,Lovely apartment in perfect location,117026,Mutlu,,Beyoglu,41.03254,28.98153,Entire home/apt,289,30,10,2018-05-04,0.32,1,0
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09048,29.05559,Entire home/apt,1018,3,0,,,1,88
29241,"↪ Istanbul, Your second house",125742,Şevki,,Beyoglu,41.04844,28.95254,Private room,407,3,0,,,1,365
30697,nice home in popular area,132137,Nan,,Beyoglu,41.0335,28.97626,Private room,952,1,1,2010-06-14,0.01,1,364
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,,Sisli,41.05382,28.99739,Private room,503,2,1,2014-10-21,0.01,2,364
34925,A room in galata beyoglu,150435,Esr,,Beyoglu,41.02704,28.97588,Private room,555,1,0,,,1,365
35580,Sea View terrace  House,153032,Michel,,Beyoglu,41.03658,28.97213,Entire home/apt,295,30,38,2020-02-03,0.46,3,333
35938,Cosy Room in Istanbul Center,154245,Sinan,,Sisli,41.04913,28.99666,Private room,604,1,0,,,1,364
41753,Örücü Palace / Princess Apartment,182639,Mehmet Ali,,Beyoglu,41.02725,28.97718,Entire home/apt,561,5,46,2017-05-21,0.38,7,179
44421,Beautiful Studio With A View,194194,Zeyno,,Beyoglu,41.03089,28.98054,Private room,884,180,86,2015-10-06,0.70,1,269
47264,Kurucesme stunning seaview peacfull Flat,213410,Evrim,,Besiktas,41.06464,29.0358,Entire home/apt,443,30,9,2019-09-02,0.08,8,301
47377,Double Room in Taksim,214374,Bertan Kemal,,Beyoglu,41.03467,28.98902,Private room,407,3,0,,,1,365
48346,Charming Apartment in Kuzguncuk,220212,Yesim,,Uskudar,41.03485,29.03155,Entire home/apt,571,3,13,2020-08-14,0.13,2,352
49955,A room with a view of Bosphorous.,228352,Oz,,Fatih,41.01717,28.96325,Private room,476,1,0,,,1,365
52828,Prince(Garden Apart),182639,Mehmet Ali,,Beyoglu,41.02752,28.97858,Entire home/apt,561,5,27,2017-03-14,0.23,7,179
58441,Private  studio bestlocation@Taksim,279673,Engin,,Beyoglu,41.0385,28.98189,Entire home/apt,285,28,16,2016-12-31,0.15,3,364
62172,Central Location Taksim/Cihangir,302361,Nurten,,Beyoglu,41.03442,28.98561,Private room,761,3,0,,,3,26
62817,Quiet room in central apartment,305202,Oksan,,Beyoglu,41.03638,28.9909,Private room,358,2,74,2018-08-22,0.65,1,364
77190,flat with garden'n' terrace taksim,413150,Baris,,Beyoglu,41.03343,28.99057,Entire home/apt,250,5,33,2018-08-16,0.29,2,365
77292,3 Bedroom Apartment with Terrace Bosphorus View,414003,Fasedis,,Beyoglu,41.03583,28.98989,Entire home/apt,952,3,2,2020-08-29,0.86,9,25
88949,Wonderful room with Historical View,485384,Alev,,Beyoglu,41.03326,28.97876,Private room,241,2,86,2019-08-06,0.75,1,364
101397,❛Cozy • Clean • Central • Room❜,531367,Guliz,,Beyoglu,41.03082,28.98053,Private room,143,2,68,2020-01-02,0.60,1,345
108164,Kurucesme design amazing seaview  forest room,213410,Evrim,,Besiktas,41.06341,29.0364,Private room,155,15,6,2018-12-31,0.06,8,302
108537,Cihangir Connection,561692,Hasan,,Beyoglu,41.03103,28.984,Entire home/apt,435,2,3,2018-04-11,0.08,1,365
114786,Blue Mosque View in Sultanahmet,582060,Fernando,,Fatih,41.0063,28.97916,Entire home/apt,521,2,76,2020-08-07,0.72,13,332
124137,Beautiful Artist's home staycation,594053,Dev,,Beyoglu,41.03321,28.98674,Entire home/apt,281,3,30,2020-10-14,0.34,2,0
127912,"View, Kid-friendly, Central @Taksim",632856,Secil,,Beyoglu,41.03625,28.99129,Entire home/apt,466,4,28,2019-09-19,0.28,2,365
130225,Room in a modern home.,641487,Efe,,Kadikoy,40.97618,29.04442,Private room,407,1,1,2012-08-04,0.01,1,365
133148,Eveything you need - as you wish,654031,Nurhan,,Kagithane,41.06496,28.95651,Entire home/apt,1222,2,0,,,1,365
135956,Private room in shared flat-for ONLY female guests,666066,Ali,,Beyoglu,41.0286,28.9775,Private room,114,20,28,2020-08-11,0.25,9,299
