ilce,enlem,boylam,oda_tipi,fiyat,min_gece,degerlendirme_sayisi,host_ev_sayisi,yil_ici_uygunluk
Besiktas,41.06984,29.04545,Entire home/apt,965,365,41,2,356
Beyoglu,41.032540000000004,28.98153,Entire home/apt,289,30,10,1,0
Sariyer,41.09048,29.055590000000002,Entire home/apt,1018,3,0,1,88
Beyoglu,41.04844,28.952540000000003,Private room,407,3,0,1,365
Beyoglu,41.0335,28.976259999999996,Private room,952,1,1,1,364
Sisli,41.05382,28.997390000000003,Private room,503,2,1,2,364
Beyoglu,41.02704,28.97588,Private room,555,1,0,1,365
Beyoglu,41.03658,28.97213,Entire home/apt,295,30,38,3,333
Sisli,41.04913,28.99666,Private room,604,1,0,1,364
Beyoglu,41.02725,28.97718,Entire home/apt,561,5,46,7,179
Beyoglu,41.03089,28.98054,Private room,884,180,86,1,269
Besiktas,41.064640000000004,29.0358,Entire home/apt,443,30,9,8,301
Beyoglu,41.03467,28.98902,Private room,407,3,0,1,365
Uskudar,41.03485,29.03155,Entire home/apt,571,3,13,2,352
Fatih,41.01717,28.96325,Private room,476,1,0,1,365
Beyoglu,41.02752,28.978579999999997,Entire home/apt,561,5,27,7,179
Beyoglu,41.0385,28.981890000000003,Entire home/apt,285,28,16,3,364
Beyoglu,41.034420000000004,28.985609999999998,Private room,761,3,0,3,26
Beyoglu,41.03638,28.9909,Private room,358,2,74,1,364
Beyoglu,41.033429999999996,28.99057,Entire home/apt,250,5,33,2,365
Beyoglu,41.03583,28.989890000000003,Entire home/apt,952,3,2,9,25
Beyoglu,41.03326,28.978759999999998,Private room,241,2,86,1,364
Beyoglu,41.03082,28.980529999999998,Private room,143,2,68,1,345
Besiktas,41.06341,29.0364,Private room,155,15,6,8,302
Beyoglu,41.03103,28.984,Entire home/apt,435,2,3,1,365
Fatih,41.0063,28.979159999999997,Entire home/apt,521,2,76,13,332
Beyoglu,41.03321,28.98674,Entire home/apt,281,3,30,2,0
Beyoglu,41.03625,28.991290000000003,Entire home/apt,466,4,28,2,365
